"No.","Time","Source","Destination","Protocol","Length","Info"
"55","3.939620000","10.0.0.1","10.0.0.2","TCP","103","[TCP segment of a reassembled PDU]"
"56","3.939624000","10.0.0.2","10.0.0.1","TCP","66","57230 > irdmi [ACK] Seq=368 Ack=104 Win=29696 Len=0 TSval=66960 TSecr=66960"
"57","3.939630000","10.0.0.1","10.0.0.2","TCP","91","[TCP segment of a reassembled PDU]"
"58","3.939633000","10.0.0.2","10.0.0.1","TCP","66","57230 > irdmi [ACK] Seq=368 Ack=129 Win=29696 Len=0 TSval=66960 TSecr=66960"
"59","3.939639000","10.0.0.1","10.0.0.2","TCP","85","[TCP segment of a reassembled PDU]"
"60","3.939642000","10.0.0.2","10.0.0.1","TCP","66","57230 > irdmi [ACK] Seq=368 Ack=148 Win=29696 Len=0 TSval=66960 TSecr=66960"
"61","3.939647000","10.0.0.1","10.0.0.2","TCP","68","[TCP segment of a reassembled PDU]"
"62","3.939651000","10.0.0.2","10.0.0.1","TCP","66","57230 > irdmi [ACK] Seq=368 Ack=150 Win=29696 Len=0 TSval=66960 TSecr=66960"
"63","3.939656000","10.0.0.1","10.0.0.2","HTTP","261","Continuation or non-HTTP traffic"
"64","3.939659000","10.0.0.2","10.0.0.1","TCP","66","57230 > irdmi [ACK] Seq=368 Ack=345 Win=30720 Len=0 TSval=66960 TSecr=66960"
"65","3.939681000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57230 [FIN, ACK] Seq=345 Ack=368 Win=30208 Len=0 TSval=66960 TSecr=66960"
"66","3.940212000","10.0.0.2","10.0.0.1","TCP","66","57230 > irdmi [FIN, ACK] Seq=368 Ack=346 Win=30720 Len=0 TSval=66961 TSecr=66960"
"67","3.940217000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57230 [ACK] Seq=346 Ack=369 Win=30208 Len=0 TSval=66961 TSecr=66961"
"68","4.165924000","10.0.0.2","224.0.0.251","MDNS","82","Standard query 0x0000  PTR _googlecast._tcp.local, ""QM"" question"
"69","4.169501000","10.0.0.2","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"70","4.941632000","10.0.0.2","224.0.0.251","MDNS","78","Standard query 0x0000  PTR _privet._tcp.local, ""QM"" question"
"71","5.944534000","10.0.0.2","224.0.0.251","MDNS","78","Standard query 0x0000  PTR _privet._tcp.local, ""QM"" question"
"72","7.946539000","10.0.0.2","224.0.0.251","MDNS","78","Standard query 0x0000  PTR _privet._tcp.local, ""QM"" question"
"73","40.153910000","10.0.0.2","10.0.0.1","TCP","66","57236 > irdmi [FIN, ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=76014 TSecr=66928"
"74","40.153923000","10.0.0.2","10.0.0.1","TCP","66","57238 > irdmi [FIN, ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=76014 TSecr=66928"
"75","40.153926000","10.0.0.2","10.0.0.1","TCP","66","57232 > irdmi [FIN, ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=76014 TSecr=66928"
"76","40.153932000","10.0.0.2","10.0.0.1","TCP","66","57234 > irdmi [FIN, ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=76014 TSecr=66928"
"77","40.154147000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57232 [FIN, ACK] Seq=1 Ack=2 Win=29184 Len=0 TSval=76014 TSecr=76014"
"78","40.154233000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57234 [FIN, ACK] Seq=1 Ack=2 Win=29184 Len=0 TSval=76014 TSecr=76014"
"79","40.154277000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57236 [FIN, ACK] Seq=1 Ack=2 Win=29184 Len=0 TSval=76014 TSecr=76014"
"80","40.154315000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57238 [FIN, ACK] Seq=1 Ack=2 Win=29184 Len=0 TSval=76014 TSecr=76014"
"81","40.155116000","10.0.0.2","10.0.0.1","TCP","66","57238 > irdmi [ACK] Seq=2 Ack=2 Win=29696 Len=0 TSval=76014 TSecr=76014"
"82","40.155146000","10.0.0.2","10.0.0.1","TCP","66","57234 > irdmi [ACK] Seq=2 Ack=2 Win=29696 Len=0 TSval=76014 TSecr=76014"
"83","40.155155000","10.0.0.2","10.0.0.1","TCP","66","57236 > irdmi [ACK] Seq=2 Ack=2 Win=29696 Len=0 TSval=76014 TSecr=76014"
"84","40.155164000","10.0.0.2","10.0.0.1","TCP","66","57232 > irdmi [ACK] Seq=2 Ack=2 Win=29696 Len=0 TSval=76014 TSecr=76014"
"85","50.432580000","10.0.0.2","10.0.0.1","TCP","74","57248 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=78584 TSecr=0 WS=512"
"86","50.432598000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 57248 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=78584 TSecr=78584 WS=512"
"87","50.433015000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=78584 TSecr=78584"
"88","50.433388000","10.0.0.2","10.0.0.1","HTTP","557","GET /file.html HTTP/1.1 "
"89","50.433411000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57248 [ACK] Seq=1 Ack=492 Win=30208 Len=0 TSval=78584 TSecr=78584"
"90","50.433852000","10.0.0.1","10.0.0.2","TCP","83","[TCP segment of a reassembled PDU]"
"91","50.433862000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=492 Ack=18 Win=29696 Len=0 TSval=78584 TSecr=78584"
"92","50.433873000","10.0.0.1","10.0.0.2","TCP","103","[TCP segment of a reassembled PDU]"
"93","50.433877000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=492 Ack=55 Win=29696 Len=0 TSval=78584 TSecr=78584"
"94","50.433892000","10.0.0.1","10.0.0.2","TCP","103","[TCP segment of a reassembled PDU]"
"95","50.433896000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=492 Ack=92 Win=29696 Len=0 TSval=78584 TSecr=78584"
"96","50.433902000","10.0.0.1","10.0.0.2","TCP","91","[TCP segment of a reassembled PDU]"
"97","50.433905000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=492 Ack=117 Win=29696 Len=0 TSval=78584 TSecr=78584"
"98","50.433915000","10.0.0.1","10.0.0.2","TCP","87","[TCP segment of a reassembled PDU]"
"99","50.433919000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=492 Ack=138 Win=29696 Len=0 TSval=78584 TSecr=78584"
"100","50.433930000","10.0.0.1","10.0.0.2","TCP","112","[TCP segment of a reassembled PDU]"
"101","50.433933000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=492 Ack=184 Win=29696 Len=0 TSval=78584 TSecr=78584"
"102","50.433938000","10.0.0.1","10.0.0.2","TCP","68","[TCP segment of a reassembled PDU]"
"103","50.433941000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=492 Ack=186 Win=29696 Len=0 TSval=78584 TSecr=78584"
"104","50.434531000","10.0.0.1","10.0.0.2","HTTP","1029","HTTP/1.0 200 OK  (text/html)"
